,index,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
566,10146,RUY DIAS DE FREITAS,RUY DO JUDÔ,BARRO PRETO,REPUBLICANOS,SUPLENTE,4,0.0,575.0
567,10148,MARIA JOSÉ SOUSA DA SILVA,KEKA DE HELENA,BARRO PRETO,REPUBLICANOS,SUPLENTE,4,0.0,575.0
568,10170,MARIA DE LOURDES GUIMARAES GOMES,LOURDES DE VALMIR,TEIXEIRA DE FREITAS,CIDADANIA,NÃO ELEITO,6,0.0,0.0
569,10200,NEURACI RODRIGUES DOS SANTOS,NEURACI RODRIGUES,IBOTIRAMA,PT,SUPLENTE,0,0.0,0.0
570,10213,ADEMILTON BATISTA FARIAS,COUBE GARI,BARRO PRETO,MDB,SUPLENTE,7,0.0,0.0
571,10221,JOAO PAULO PEREIRA DE JESUS,JOÃO PAULO DO POVÃO,BARRO PRETO,PT,SUPLENTE,7,0.0,0.0
572,10264,FABIANA DOS SANTOS HILARIO,FABIANA HILÁRIO,BARRO PRETO,PODE,SUPLENTE,2,0.0,575.0
573,10266,JEFFERSON MARTINS DE SOUZA,CLÔ,BARRO PRETO,PODE,SUPLENTE,0,0.0,575.0
574,10270,VALDEMIR BISPO DOS SANTOS,VALDEMIR GUARDA,BARRO PRETO,PODE,SUPLENTE,7,0.0,575.0
575,10272,ARETHA ALEF SILVA CATARINO,ARETHA DE SANDRA,BARRO PRETO,PODE,SUPLENTE,4,0.0,575.0
576,10328,DANIELA DA CRUZ SANTOS,DANI,CONCEIÇÃO DO ALMEIDA,PL,SUPLENTE,5,0.0,0.0
577,10349,FERNANDA RIBEIRO DOS SANTOS,FERNANDA DA NOVA SANTA INES,SANTA INÊS,PSOL,NÃO ELEITO,3,0.0,278.36
578,10354,JOELSON LIMA DOS SANTOS,JOELSON LIMA,SANTA INÊS,PSOL,NÃO ELEITO,6,0.0,278.36
579,10356,RENATO DE JESUS VIANA,RENATO DE JESUS VIANA,ITAMARAJU,REDE,NÃO ELEITO,7,0.0,0.0
580,10357,MARIA EDNA NONATO PEREIRA,EDNA,ITAMARAJU,REDE,NÃO ELEITO,1,0.0,0.0
581,10358,LEONARDO PEREIRA DOS SANTOS,LEO,ITAMARAJU,REDE,NÃO ELEITO,1,0.0,0.0
582,10359,MARIA DOS ANJOS ALVES MUNIZ,MARIA,ITAMARAJU,REDE,NÃO ELEITO,1,0.0,0.0
583,10412,RAILDA DOS SANTOS SILVA,RAILDA,UMBURANAS,PSD,SUPLENTE,0,0.0,800.0
584,10414,JÉSSICA GUIMARÃES LUCENA,JÉSSICA,UMBURANAS,PSD,SUPLENTE,0,0.0,800.0
585,10417,VALÉRIA FERREIRA FRANÇA,VALÉRIA FRANÇA,UMBURANAS,PSD,SUPLENTE,2,0.0,800.0
586,10419,REGINALDO DA SILVA GAMA,REGE DO DEGO,UMBURANAS,PSD,SUPLENTE,0,0.0,800.0
587,10421,FRANCINETE DA SILVA ATAIDE,NETA DO MULUNGU,CHORROCHÓ,PC do B,SUPLENTE,5,0.0,770.0
588,10431,ROSIANE BARBOSA SANTOS,ROSI DA GAMELEIRA,CONCEIÇÃO DO ALMEIDA,PTC,SUPLENTE,5,0.0,0.0
589,10458,GILMAR DA SILVA OLIVEIRA,GILMAR DE NOVA ESPERANÇA,ICHU,PODE,NÃO ELEITO,5,0.0,0.0
590,10464,CACIA BISPO DOS ANJOS,CACIA,ICHU,REPUBLICANOS,SUPLENTE,6,0.0,0.0
591,10466,MARCIA JEANE DA SILVA PORTUGAL,MARCIA DE ZÉ DIAS,ICHU,REPUBLICANOS,SUPLENTE,3,0.0,0.0
592,10499,MANOEL DA SILVA SANTOS,NEGO SOM,JUAZEIRO,PTC,SUPLENTE,7,0.0,0.0
593,10507,JEFERSON LAZARO MATOS MEDRADO,JEFERSON MEDRADO,JUAZEIRO,PTC,SUPLENTE,6,0.0,0.0
594,10510,MARIA SUELY SOUZA DO NASCIMENTO,IRMÃ SUSSU,JUAZEIRO,PTC,SUPLENTE,3,0.0,0.0
595,10513,MARIA DE JESUS LUCINDA DE AZEVEDO SILVA,MARIA DE JESUS,JUAZEIRO,PTC,SUPLENTE,3,0.0,0.0
596,10514,NORMA LUCI LEITE DA FRANÇA CARDOSO,LUCI LEITE,JUAZEIRO,PTC,SUPLENTE,5,0.0,0.0
597,10523,JUCILEIDE DOS SANTOS FELIX SILVA,LEIDINHA FELIX,JUAZEIRO,PTC,SUPLENTE,5,0.0,0.0
598,10525,HELDER DE MOURA SILVA,NEGÃO DA SAÚDE,JUAZEIRO,PTC,SUPLENTE,0,0.0,0.0
599,10527,VALNAN JESUS FERREIRA,VALNAN FERREIRA,UBATÃ,PSD,NÃO ELEITO,1,0.0,0.0
600,10529,ALBERTO CESAR CONCEIÇAO,ALBERTO DAS CASA FERREIRA,UBATÃ,PSD,NÃO ELEITO,0,0.0,0.0
601,10530,ELIANE FAGUNDES DE JESUS,PIXITA GARI,UBATÃ,PSD,NÃO ELEITO,3,0.0,0.0
602,10559,TAMILIS DE SENNA PEREIRA,MILE DAS FRUTAS,FEIRA DE SANTANA,PODE,NÃO ELEITO,7,0.0,0.0
603,10562,REGINALDA SILVA DE SA,REGINALDA SA ,FEIRA DE SANTANA,PODE,NÃO ELEITO,0,0.0,0.0
604,10580,RESSIA NAYARA NEIVA ROSA CRUZ,RESSIA NAYARA,CONCEIÇÃO DO ALMEIDA,PSD,SUPLENTE,6,0.0,0.0
605,10600,LUCIANA VALERIA MIRANDA LOPES,LUCIANA LOPES,JUAZEIRO,REPUBLICANOS,NÃO ELEITO,3,0.0,0.0
606,10667,SUIANE DE SANTANA COSTA,SUSU,SÃO GONÇALO DOS CAMPOS,PDT,NÃO ELEITO,0,0.0,0.0
607,10696,ROBERTO DE SOUSA COSTA,ROBERTO COSTA,LAURO DE FREITAS,PATRIOTA,SUPLENTE,2,0.0,0.0
608,10700,ANA REGINA SANTOS CALMON,REGINA DO POVO,LAURO DE FREITAS,PATRIOTA,SUPLENTE,5,0.0,6000.0
609,10705,IRAN MATOS COSTA,KAKAU MATOS,LAURO DE FREITAS,PATRIOTA,SUPLENTE,6,0.0,0.0
610,10755,LOURENÇO GOMES DE OLIVEIRA,IRMÃO LOURENÇO,ILHÉUS,PV,SUPLENTE,3,0.0,372.5
611,10761,GRAZIELLI DIAS DA ROCHA,NINHA,TEIXEIRA DE FREITAS,PTC,NÃO ELEITO,6,0.0,0.0
612,10763,CINTIA DA COSTA SILVA,CINTIA DO ULISSES GUIMARÃES,TEIXEIRA DE FREITAS,PTC,NÃO ELEITO,7,0.0,0.0
613,10772,LUIZ EDUARDO ARLEO BARBOSA DE CERQUEIRA,LUIZ ARLEO,ILHÉUS,MDB,NÃO ELEITO,0,0.0,0.0
614,10842,DGENANE SOUZA SANTOS,PROFESSORA DGENANE,TEIXEIRA DE FREITAS,PSB,SUPLENTE,5,0.0,227.73
615,10887,ECCLESIASTES DOS SANTOS SILVA,GALEGO ACESSORIOS,LAURO DE FREITAS,PDT,NÃO ELEITO,1,0.0,0.0
616,10894,GLEIDIVAN ANDRADE DE SANTANA,GLEIDI SANTANA,LAURO DE FREITAS,PDT,NÃO ELEITO,4,0.0,0.0
617,10896,ANA CRISTINA ANDRADE DE SOUZA,CRISTINA ANDRADE,LAURO DE FREITAS,PDT,NÃO ELEITO,1,0.0,0.0
618,10900,DANIEL MOREIRA REIS,DANIEL REIS,LAURO DE FREITAS,PDT,NÃO ELEITO,0,0.0,0.0
619,10927,ADRIANA QUEIROZ DE CARVALHO,ADRIANA CARVALHO,LAURO DE FREITAS,PP,SUPLENTE,3,0.0,0.0
620,10948,LUZIA GONÇALVES DE OLIVEIRA,LUZIA TUPINAMBA,PAU BRASIL,REDE,SUPLENTE,4,0.0,0.0
621,10952,CAROLINE MELO OLIVEIRA LIMA,CAROL MELO,LAURO DE FREITAS,PSDB,SUPLENTE,0,0.0,0.0
622,11007,MARIA NASCIMENTO LIMA,MARIA PAU,PAU BRASIL,PSD,SUPLENTE,5,0.0,0.0
623,11010,MARIA REGINA SANTANA LISBOA,MARIA REGINA,PAU BRASIL,PSD,SUPLENTE,0,0.0,0.0
624,11025,LENILDO COSTA RIBEIRO,LENILDO DE CARLINHOS DO RÁDIO,SANTA LUZIA,PSD,SUPLENTE,1,0.0,543.4200000000001
625,11048,JORGE LUIZ DOS SANTOS TORRES,JORGE BAIXISTA,ALAGOINHAS,PL,SUPLENTE,1,0.0,0.0
626,11052,ALISSON DA CRUZ SANTOS,ALISSON DO POVO,ALAGOINHAS,PL,SUPLENTE,0,0.0,0.0
627,11063,IRACI BENTA DE SANTANA,IRACI,TEOLÂNDIA,PT,SUPLENTE,1,0.0,151.5
628,11064,RITA DE JESUS MENEZES,RITA MENEZES,TEOLÂNDIA,PT,SUPLENTE,7,0.0,151.5
629,11068,ZENILDA DE JESUS LISBOA,ZENILDA,TEOLÂNDIA,PT,SUPLENTE,0,0.0,0.0
630,11069,RITA DE JESUS LISBOA,RITA DO SINDICATO,TEOLÂNDIA,PT,SUPLENTE,0,0.0,151.5
631,11107,REGINALDO DE DEUS SANTOS,REGINALDO,ALAGOINHAS,PMB,NÃO ELEITO,4,0.0,0.0
632,11122,OJACKSON MARTINS JÚNIOR,OJCKSON BAIXINHO,SANTA CRUZ CABRÁLIA,REPUBLICANOS,NÃO ELEITO,6,0.0,0.0
633,11154,FELICIA SANTOS DE SOUZA,FELICIA DO MOSQUITO,BOQUIRA,PT,SUPLENTE,2,0.0,90.0
634,11200,EVA ANGÉLICA DOS SANTOS,EVA,IGAPORÃ,PSD,SUPLENTE,7,0.0,0.0
635,11231,ANTONIO SOUZA BRITO,ETINHO,ITAQUARA,PSOL,SUPLENTE,3,0.0,285.24
636,11232,ANE ROSE SANTANA NASCIMENTO,ANE,ITAQUARA,PSOL,SUPLENTE,2,0.0,285.24
637,11236,NOEMIA SANTOS DE OLIVEIRA,NOESIA,ITAQUARA,PSOL,SUPLENTE,3,0.0,285.24
638,11257,SANTINA MARIA DE JESUS,XUXU,CONDEÚBA,PSD,SUPLENTE,0,0.0,0.0
639,11258,FLODERNICE ROSA DE JESUS SILVA,NICE,CONDEÚBA,PSD,SUPLENTE,0,0.0,0.0
640,11281,LEA VIANA SANTOS,LEA VIANA,ITACARÉ,REPUBLICANOS,SUPLENTE,2,0.0,75.95
641,11304,OTELINA OLIVEIRA RAMOS,OTELINA RAMOS,MUCUGÊ,PSD,SUPLENTE,3,0.0,0.0
642,11308,MILENA SILVA SOUZA,MILENA,MUCUGÊ,PSD,SUPLENTE,4,0.0,0.0
643,11311,CRISTIANE SILVA,KIKA RICA,ITAQUARA,PSB,SUPLENTE,2,0.0,0.0
644,11318,JOCELIA SANTOS SILVA,SANDRA RIBEIRO,ITAQUARA,PSB,SUPLENTE,0,0.0,0.0
645,11320,MARIA DA CONCEIÇÃO SANTANA DE SOUZA,MARIA DE TOMÉ,ITAQUARA,PSB,SUPLENTE,0,0.0,0.0
646,11329,CLEUSA DOS SANTOS OLIVEIRA,CLEUSA ALBINO,JAGUAQUARA,PSD,SUPLENTE,0,0.0,0.0
647,11359,LUCIANO RODRIGUES DA SILVA,LUCIANO DA PEIXARIA,ITACARÉ,MDB,NÃO ELEITO,6,0.0,305.0
648,11360,LUCIANA ALVES DOS SANTOS,LUCIANA,ITACARÉ,MDB,NÃO ELEITO,2,0.0,305.0
649,11361,ADALICE MARIA DE JESUS MARTINS,ADALICE,ITACARÉ,MDB,NÃO ELEITO,4,0.0,375.0
650,11362,LUCAS GUIMARÃES PEREIRA,LUCAS,ITACARÉ,MDB,NÃO ELEITO,2,0.0,305.0
651,11364,EMANUEL MORAES MORENO,EMANOEL,ITACARÉ,MDB,NÃO ELEITO,2,0.0,375.0
652,11365,FERNANDO NASCIMENTO DE JESUS,FERNANDO TITIU,ITACARÉ,MDB,NÃO ELEITO,7,0.0,258.33
653,11366,MARIA ROZIMÁ NOVAIS SANTOS,MARIA ROZIMÁ,ITACARÉ,MDB,NÃO ELEITO,2,0.0,305.0
654,11367,EMANOEL CARLOS MATO GROSSO MATHEUS,MANOLO É CULTURA,ITACARÉ,MDB,NÃO ELEITO,6,0.0,305.0
655,11368,ELIOENAI SANTOS BORGES,NAI BORGES,ITAMARAJU,PSOL,NÃO ELEITO,4,0.0,345.0
656,11372,JHENIFFER SILVA DOS SANTOS,JHENIFFER,ITAMARAJU,PSOL,NÃO ELEITO,0,0.0,0.0
657,11373,ROMENNIA ROCHA DOS SANTOS,ROMENNIA,ITAMARAJU,PSOL,NÃO ELEITO,2,0.0,345.0
658,11376,DERISMAR COSTA REIS,DERISMAR COSTA,ITAMARAJU,PSOL,NÃO ELEITO,1,0.0,345.0
659,11378,POLIANE DE JESUS DA SILVA,POLIANE POLLI,ITAMARAJU,PSOL,NÃO ELEITO,7,0.0,345.0
660,11379,TAIANE DA SILVA SANTOS,TAIANE DE SANTO AUGUSTINHO,ITAMARAJU,PSOL,NÃO ELEITO,4,0.0,345.0
661,11380,TIAGO DOS SANTOS SOARES,TIAGO,ITAMARAJU,PSOL,NÃO ELEITO,2,0.0,345.0
662,11385,EUGÊNIO BISPO DA SILVA,EUGÊNIO SAPUDO,MUCUGÊ,SOLIDARIEDADE,NÃO ELEITO,5,0.0,0.0
663,11429,ADRIANA CONCEIÇÃO DOS SANTOS DE SANTANA,ADRIANA SANTANA,CONDE,DEM,SUPLENTE,6,0.0,0.0
664,11441,MARIA DAS DORES SANTOS ROCHA,DODORA,CONDE,PDT,SUPLENTE,7,0.0,0.0
665,11444,ANA NERES DOS SANTOS,ANA DE LÁZARO,CONDE,PDT,SUPLENTE,1,0.0,0.0
666,11470,DEMETRIA MATOS DA SILVA,DEMETRIA,PAU BRASIL,PL,SUPLENTE,1,0.0,0.0
667,11477,NILCEIA SANTOS SILVA,NILCEIA DO BOLO,CONDE,PODE,SUPLENTE,2,0.0,0.0
668,11480,MAISSE ESTEVAM DOS SANTOS,MAISSE,CONDE,PODE,SUPLENTE,6,0.0,0.0
669,11486,ELIANA DO NASCIMENTO,ELIANA,CONDE,PODE,SUPLENTE,2,0.0,0.0
670,11516,LUCIENE NUNES DA SILVA,LUCIENE DO GRAMPARA,CONCEIÇÃO DO ALMEIDA,DEM,NÃO ELEITO,6,0.0,0.0
671,11520,JUCELINO LEANDRO DOS SANTOS,CELINO DA ESTAÇÃO,CONCEIÇÃO DO ALMEIDA,DEM,NÃO ELEITO,5,0.0,0.0
672,11555,AMANDA SANTOS DA SILVA,AMANDA SILVA,SALVADOR,PTB,SUPLENTE,1,0.0,0.0
673,11674,HELIECILIA BRITO FERNANDES GUIMARAES,HELIECILIA,RIO DO ANTÔNIO,PROS,NÃO ELEITO,0,0.0,0.0
674,11685,MAURA DE JESUS DOS SANTOS,MAURA,ENTRE RIOS,PSC,SUPLENTE,7,0.0,669.0
675,11689,JUAREZ FERREIRA,PAPELÃO,ENTRE RIOS,PSC,SUPLENTE,6,0.0,669.0
676,11695,MARIA CRISTINA FERNANDES DE BRITO DA SILVA,CRISTINA,IBIASSUCÊ,PSD,SUPLENTE,5,0.0,150.0
677,11701,MARIA APARECIDA DE OLIVEIRA LIMA SANTOS,CIDA,IBIASSUCÊ,PSD,SUPLENTE,3,0.0,150.0
678,11704,LUCIANA SOUZA NORONHA,LUCIANA NORONHA,ENTRE RIOS,CIDADANIA,NÃO ELEITO,0,0.0,500.0
679,11710,JOSE ALAN DOS SANTOS,VOVÕ,CARDEAL DA SILVA,PSB,SUPLENTE,7,0.0,0.0
680,11711,ALDEMIR PINTO DOS SANTOS,MIMI DO GÁS,CARDEAL DA SILVA,PSB,SUPLENTE,1,0.0,0.0
681,11715,MARILENE VIANA VIDAL,MARILENE VIANA,CARDEAL DA SILVA,PSB,SUPLENTE,3,0.0,0.0
682,11732,GABRIELA CAVALCANTE ALBUQUERQUE MENDONÇA,GABI GABIZONA,NOVA VIÇOSA,PP,SUPLENTE,5,0.0,0.0
683,11748,MARIA LUZINETE BORGES CARLOS,LUZINETE,MUCURI,REDE,SUPLENTE,2,0.0,0.0
684,11761,INGRID DOS REMEDIOS LIMA,INGRID,MUCURI,REDE,SUPLENTE,1,0.0,0.0
685,11763,MOISEIS CONCEIÇAO MATIAS,MOISEIS MATIAS,MUCURI,REDE,SUPLENTE,2,0.0,0.0
686,11804,CRISTIANA PEREIRA MURCA,CRISTIANA MURCA,NOVA VIÇOSA,PL,SUPLENTE,4,0.0,0.0
687,11837,LORRAINE VIEIRA ALMEIDA,LORRAINE,NOVA VIÇOSA,DEM,SUPLENTE,0,0.0,0.0
688,11848,KATRINE SANTOS DA SILVA,KATRINE,UBATÃ,MDB,SUPLENTE,0,0.0,0.0
689,11862,JOSÉ SISTERNAS ASSUNÇÃO JUNIOR,JÚNIOR ASSUNÇÃO,MUCURI,PSD,SUPLENTE,0,0.0,750.0
690,11890,SUELI DO AMARAL SOARES MOTA,SUELI MOTA,MUCURI,PROS,SUPLENTE,0,0.0,750.0
691,11900,DINALVA VIEIRA SANTOS,PROFESSORA NALVA,UBATÃ,DEM,NÃO ELEITO,2,0.0,0.0
692,11903,FELIPE SOUZA FERNANDES DA SILVA,FELIPE FERNANDES,UBATÃ,DEM,NÃO ELEITO,0,0.0,0.0
693,11944,ANDRE SANTOS DE SANTANA,DJ DECO,MATA DE SÃO JOÃO,CIDADANIA,NÃO ELEITO,0,0.0,0.0
694,11945,ADALBERTO SILVA NASCIMENTO NETO,BETO DE AILTON,MATA DE SÃO JOÃO,CIDADANIA,NÃO ELEITO,1,0.0,0.0
695,11996,GLAUBER RAMOS ROCHA,GLAUBER DA CLÍNICA,MATA DE SÃO JOÃO,DEM,SUPLENTE,0,0.0,0.0
696,12010,CARLINE AUREA LOPES VIEIRA,CHANCHAN,MATA DE SÃO JOÃO,DEM,SUPLENTE,5,0.0,0.0
697,12132,IRINALVA MOREIRA MARQUES,NALVINHA DO HOTEL,MARAGOGIPE,PSD,SUPLENTE,3,0.0,0.0
698,12159,MARIA DE LOURDES SANTANA NUNES,MIRA DE JOÃO CORREIA,MUCUGÊ,PODE,NÃO ELEITO,6,0.0,0.0
699,12211,ALINES SOARES SANTANA,ALINE SOARES,MARAGOGIPE,PTC,NÃO ELEITO,5,0.0,0.0
700,12212,EDVALDO DOS SANTOS AMORIM,DIDI DE GONÇALO,MARAGOGIPE,PTC,NÃO ELEITO,0,0.0,0.0
701,12214,CARLA PRISCILA DA SILVA LIMA,PRISCILA LIMA,MARAGOGIPE,PTC,NÃO ELEITO,5,0.0,0.0
702,12217,LUANA SOUZA DIAS,LUANA SOUZA,MARAGOGIPE,PTC,NÃO ELEITO,4,0.0,0.0
703,12221,ELAINE AMORIM DE MIRANDA,LANY AMORIM,MARAGOGIPE,PTC,NÃO ELEITO,1,0.0,0.0
704,12237,ELANY DOS SANTOS DA SILVA,ELANY SANTOS ,IBOTIRAMA,PSB,SUPLENTE,3,0.0,0.0
705,12270,VINICIUS DE ALMEIDA PINHO,VINY ALEMÃO,SERRINHA,PODE,NÃO ELEITO,0,0.0,0.0
706,12279,MARIA DA CONCEIÇÃO PEREIRA TEIXEIRA,BAIANA,AMÉLIA RODRIGUES,MDB,NÃO ELEITO,2,0.0,0.0
707,12326,LORRAYNE OLIVEIRA ANGELO,LORRAYNE,BARROCAS,PT,SUPLENTE,0,0.0,5199.96
708,12338,JANIO ALVES LIMA,JANIO,BARROCAS,DEM,SUPLENTE,0,0.0,0.0
709,12350,DANILO DE SOUZA OLIVEIRA MIRANDA,DANILO TELÊ,BARROCAS,DEM,SUPLENTE,0,0.0,0.0
710,12400,MARIA HELENA CALDAS DO NASCIMENTO SILVA,HELENA CALDAS,VALENÇA,PDT,NÃO ELEITO,5,0.0,767.5
711,12418,FRANCISCO DOS SANTOS,CHIQUINHO DA FARMÁCIA,CAIRU,PT,SUPLENTE,3,0.0,0.0
712,12421,LORENA SILVA DO ROSARIO,LORENA ROSARIO,CAIRU,PT,SUPLENTE,4,0.0,0.0
713,12422,MARIA GABRIELA SILVA SANTOS,GABI DO GALEÃO,CAIRU,PT,SUPLENTE,4,0.0,0.0
714,12423,SUELI FONSECA DOS SANTOS,SUELI FONSECA,CAIRU,PT,SUPLENTE,1,0.0,0.0
715,12459,ALAN SOUZA SANTOS LIMA,ALAN LIMA,VALENÇA,PTC,NÃO ELEITO,7,0.0,1083.0
716,12463,ALEXSANDRO VIANA DE SOUZA,LEKE,CAIRU,PL,SUPLENTE,4,0.0,180.0
717,12472,GERONCIO DE BRITO SANTOS,GERONCIO DE BRITO,VALENÇA,PSD,SUPLENTE,0,0.0,0.0
718,12481,VALMIRA DOS SANTOS FERREIRA,VAL FERREIRA,VALENÇA,PSL,NÃO ELEITO,7,0.0,0.0
719,12483,JOSEMARI CONCEICAO PINHO,JOSEMARI,VALENÇA,PSL,NÃO ELEITO,0,0.0,0.0
720,12484,NEEMIAS DO NASCIMENTO SANTOS,NEEMIAS,VALENÇA,PSL,NÃO ELEITO,3,0.0,0.0
721,12486,IVANIA DOS SANTOS,OHANA,VALENÇA,PSL,NÃO ELEITO,0,0.0,0.0
722,12517,DANIELE OLIVEIRA DA MOTA,DANI,BARROCAS,PSD,SUPLENTE,1,0.0,0.0
723,12523,GABRIELA DE OLIVEIRA SILVA,GABRIELA DE GARRINCHA,BARROCAS,PSD,SUPLENTE,0,0.0,0.0
724,12525,LAIANA SILVA DE JESUS QUEIROZ,LAI DE VAN DE PIMBA,BARROCAS,PSD,SUPLENTE,0,0.0,0.0
725,12561,MARINALVA DOS SANTOS SOUZA DE OLIVEIRA,NALVA DA PARATI,BIRITINGA,PC do B,SUPLENTE,4,0.0,112.0
726,12594,JOSE RAIMUNDO BISPO DOS SANTOS,RAIMUNDO DOIDO,BARROCAS,SOLIDARIEDADE,SUPLENTE,3,0.0,51.04
727,12595,MARIA DA CONCEICAO FERREIRA QUEIROZ MASCARENHAS,CONCEICAO DE ODAJAN,BARROCAS,SOLIDARIEDADE,SUPLENTE,1,0.0,20.42
728,12596,ADALIANE SANTOS MATOS PINTO,ADALIANE MATOS,BARROCAS,SOLIDARIEDADE,SUPLENTE,6,0.0,51.04
729,12606,ADSON LIMA LEITE,PAJÉ,SANTA TEREZINHA,PT,SUPLENTE,7,0.0,0.0
730,12609,EDSON DA SILVA SÃO PEDRO,EDINHO DO PT,SANTA TEREZINHA,PT,SUPLENTE,6,0.0,0.0
731,12626,MIGUEL SANTOS DA SILVA,MIGUEL CONFECÇÃO,ILHÉUS,DC,NÃO ELEITO,0,0.0,0.0
732,12627,DENISE DA CRUZ  SILVA,DENNY FONTHINELLY,BIRITINGA,PROS,NÃO ELEITO,4,0.0,750.0
733,12644,GRAZIELLE DE OLIVEIRA LIMA CAVALCANTE,GRAZI,CARDEAL DA SILVA,PP,SUPLENTE,4,0.0,0.0
734,12646,PATRICIA DOS SANTOS,PATRICINHA,CARDEAL DA SILVA,PP,SUPLENTE,7,0.0,0.0
735,12672,GERLANDA COSTA CERQUEIRA,GERLANDA DO AMPARO,CONCEIÇÃO DO JACUÍPE,PP,SUPLENTE,4,0.0,0.0
736,12696,LUSINEIDE BENTO DA SILVA,LU DE FAISQUEIRA,UBAITABA,PSC,NÃO ELEITO,7,0.0,235.0
737,12699,JOSÉ DEILTON RODRIGUES PIRES,ZÉ DA AMBULÂNCIA,UBAITABA,PSC,NÃO ELEITO,0,0.0,0.0
738,12700,MARIA DE LOURDES LIMA SANTOS,MARIA DE LOURDES,UBAITABA,PSC,NÃO ELEITO,3,0.0,235.0
739,12745,CARINA BARBOSA DOS SANTOS,KARINA,ITABERABA,PP,SUPLENTE,5,0.0,0.0
740,12753,MAILZA SANTOS DA SILVA,MAILZA SANTOS,ITABERABA,PP,SUPLENTE,4,0.0,0.0
741,12764,JACKELINE CRUZ DA SILVA,JACK DO BABA,IRAJUBA,DEM,SUPLENTE,0,0.0,0.0
742,12777,JOELMA SOUZA DE ASSIS,JOELMA,ILHÉUS,PT,SUPLENTE,6,0.0,1095.8
743,12825,MILLENA ALVES FERREIRA,MILENA ALVES,JUAZEIRO,PATRIOTA,SUPLENTE,0,0.0,0.0
744,12833,JANINE DE ASSIS COSTA,JANINE,POJUCA,PT,SUPLENTE,5,0.0,0.0
745,12839,IVONETE DOS SANTOS CARVALHO,NETE,POJUCA,PT,SUPLENTE,6,0.0,0.0
746,12842,JACILENE DE JESUS FERREIRA,JACILENE,POJUCA,PT,SUPLENTE,2,0.0,0.0
747,12847,ANTONIO BALBINO DA SILVA,TONINHO DE DONA JOANA,POJUCA,PODE,SUPLENTE,4,0.0,0.0
748,12849,JANI SELMA CARDOSO DOS SANTOS,JANI BORBOLETA,POJUCA,PODE,SUPLENTE,5,0.0,0.0
749,12890,VALDILENE ALVES DA CONCEIÇÃO,DUM DE TEREZA,CRISÓPOLIS,PSD,SUPLENTE,6,0.0,1839.41
750,12893,MARIA HELENA DE JESUS SOUZA,HELENA DE GILBERTO,CRISÓPOLIS,PSD,SUPLENTE,3,0.0,1839.4099999999999
751,12895,COSMIRA PINHEIRO DOS SANTOS,COSMIRA,CRISÓPOLIS,PSD,SUPLENTE,3,0.0,1839.4099999999999
752,12983,ALCEU LIMA SOUZA,PASTOR ALCEU,CANDEIAS,PC do B,NÃO ELEITO,2,0.0,704.83
753,12988,MARIA NILMA SANTOS,COMPANHEIRA NILMA,CANDEIAS,PC do B,NÃO ELEITO,1,0.0,704.83
754,13017,GILBERTO LIMA DE ARAUJO,GILBERTO DO DRONE,UMBURANAS,REPUBLICANOS,NÃO ELEITO,5,0.0,0.0
755,13018,MERCEJANE DUARTE DE ALMEIDA,MERCEJANE ALMEIDA,UMBURANAS,REPUBLICANOS,NÃO ELEITO,5,0.0,0.0
756,13020,ROSENBERG CERQUEIRA REIS,REIZINHO DA AMBULANCIA,UMBURANAS,REPUBLICANOS,NÃO ELEITO,6,0.0,0.0
757,13023,JULIANA BARBOSA DA SILVA,JULY SILVA,UMBURANAS,REPUBLICANOS,NÃO ELEITO,4,0.0,0.0
758,13027,LAURA FREIRE DE JESUS SILVA,LAURA FREIRE,BARRA DO CHOÇA,SOLIDARIEDADE,NÃO ELEITO,7,0.0,0.0
759,13219,JOSÉ RONALDO PACHECO SILVA,RONALDO DA ÁGUA,ENTRE RIOS,PL,NÃO ELEITO,5,0.0,0.0
760,13222,FABIO DIAS DOS SANTOS,DIAS,BARREIRAS,PROS,NÃO ELEITO,7,0.0,704.0
761,13234,JORGE LUIZ MORAES LIMA,JORGE POLOGO,BARREIRAS,PROS,NÃO ELEITO,7,0.0,1054.0
762,13244,BRENO ALVES DA SILVA SALES,BRENO SALES,BARREIRAS,PROS,NÃO ELEITO,5,0.0,454.0
763,13302,LUCINEA MARQUES DE OLIVEIRA,NÉIA,BURITIRAMA,PSDB,NÃO ELEITO,7,0.0,0.0
764,13389,ARISON MATOS DE OLIVEIRA,ARISON,CAPELA DO ALTO ALEGRE,PDT,NÃO ELEITO,2,0.0,0.0
765,13390,ALOISIA GARCES DE OLIVEIRA,ALOISIA,CAPELA DO ALTO ALEGRE,PDT,NÃO ELEITO,6,0.0,0.0
766,13432,GESSICA DA CONCEIÇÃO NEVES FERNANDO,GESSICA,CANDEIAS,PL,SUPLENTE,4,0.0,0.0
767,13437,DEUZENIR BRAGA DE OLIVEIRA,PASTORA DEUZENIR,CANDEIAS,PL,SUPLENTE,4,0.0,102.0
768,13498,ALESSANDRO CARDOSO SANTOS,PASTOR ALESSANDRO,CARDEAL DA SILVA,PSDB,NÃO ELEITO,6,0.0,0.0
