,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_UE,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,VR_DESPESA_CONTRATADA,VR_RECEITA
4398,GILDEVAN RODRIGUES DA SILVA,GILDEVAN SILVA,IBICUÍ,REPUBLICANOS,SUPLENTE,90,0.0,0.0
4399,RODRIGO MARQUES DOS SANTOS,RÔ MECANICO ,IBIRAPITANGA,DEM,SUPLENTE,90,0.0,0.0
4400,ADVALDO SANTOS DA ANUNCIAÇÃO,BATATA,ITANAGRA,PSD,SUPLENTE,90,0.0,0.0
4401,ERIELSON SILVA DOS SANTOS,HERBERT HAKAN,SALVADOR,DEM,SUPLENTE,90,0.0,0.0
4402,IVO DOS SANTOS,IVO SANTOS,ALAGOINHAS,DEM,SUPLENTE,90,0.0,0.0
4403,BEATRIZ SENA FARIAS DE OLIVEIRA,BEATRIZ FARIAS,PORTO SEGURO,DEM,SUPLENTE,90,0.0,1000.0
4404,RONE VON DOS SANTOS,RONE VON,ELÍSIO MEDRADO,PTC,SUPLENTE,90,0.0,0.0
4405,ANACI DOS SANTOS SAMPAIO,TICO MANICURE,MURITIBA,PSB,SUPLENTE,90,0.0,0.0
4406,EPAMINONDAS ALVES DOS ANJOS FILHO,PEPEU ANJOS,NOVA REDENÇÃO,PT,SUPLENTE,90,0.0,1397.5
4407,MAHERBAL MAX COSTA BISPO,BAL DO VILELA,ILHÉUS,PSDB,SUPLENTE,90,0.0,354.0
4408,IVAN GLEIDISON RIBEIRO SANTANA,PIOLHO,IAÇU,MDB,SUPLENTE,90,0.0,0.0
4409,DANILI DA SILVA MAGALHAES,DANILI DE DOMINGAS,CAMAÇARI,CIDADANIA,SUPLENTE,90,0.0,5495.13
4410,ANTONIA RITA SANTANA DE SOUZA,RITA DO SÃO JOÃO BATISTA,JAGUAQUARA,PP,SUPLENTE,90,0.0,0.0
4411,MANOEL DOS SANTOS,MANOEL BARBUDO,PAULO AFONSO,DEM,SUPLENTE,90,0.0,1340.0
4412,SAIONARA MARIA FLORIANA COSTA,NARA DA SAÚDE,IBICARAÍ,AVANTE,SUPLENTE,90,0.0,582.9200000000001
4413,EVANDRO PAIM OTERO,EVANDRO BOCÃO,SANTO ANTÔNIO DE JESUS,PTB,NÃO ELEITO,90,0.0,250.0
4414,ANTONIO RAIMUNDO DOS SANTOS,PRIMO,SÃO GONÇALO DOS CAMPOS,SOLIDARIEDADE,SUPLENTE,90,0.0,0.0
4415,JADIELSON ROBERTO DA SILVA,BIGODE DO GÁS,LUÍS EDUARDO MAGALHÃES,MDB,NÃO ELEITO,90,0.0,1436.95
4416,GILBERTO BRITO FERREIRA,GILBERTO SAPOTI,PORTO SEGURO,PROS,SUPLENTE,90,0.0,1705.0
4417,ROBSON DE SOUSA PEREIRA,CLICK DA BAHIA,ITABELA,PP,SUPLENTE,90,0.0,125.0
4418,MARINALVA NUNES DA COSTA,MARINALVA DE CEINHO,CAMAÇARI,AVANTE,NÃO ELEITO,90,0.0,0.0
4419,ALDO BRASIL DAMASIO,ALDO BRASIL,SALVADOR,PROS,NÃO ELEITO,90,0.0,0.0
4420,MILVA PEREIRA GONCALVES,MILVA,CAIRU,PMN,SUPLENTE,90,0.0,300.0
4421,ANTONIO CARLOS RIBEIRO DA CONCEIÇÃO,SUCESSO,CANDEIAS,MDB,NÃO ELEITO,90,0.0,1298.0
4422,MÁRCIO DIAS DA CUNHA,MÁRCIO DA CUNHA,SALVADOR,PROS,NÃO ELEITO,90,0.0,0.0
4423,HERMESON SIMÕES CEZAR,GUILHERME SOCORRINHO,AURELINO LEAL,PSOL,SUPLENTE,90,0.0,1090.0
4424,AGLACIEDO COSTA DA SILVA,CIEDO,BARRA,PSDB,SUPLENTE,90,0.0,0.0
4425,RICARDO NASCIMENTO,RICARDO XULA,ITABUNA,PSD,SUPLENTE,90,0.0,0.0
4426,UGLEIDES OLIVEIRA DA PAIXÃO,PROF UGLEIDES,ALAGOINHAS,PV,NÃO ELEITO,90,0.0,500.0
4427,WALTER MATA DE OLIVEIRA FILHO,IRMÃO WALTER FILHO,ITABERABA,PSC,NÃO ELEITO,90,0.0,293.75
4428,MONICA DE JESUS TEIXEIRA,MONICA,PLANALTO,PDT,NÃO ELEITO,90,0.0,100.0
4429,ELISANGELA DIAS DOS SANTOS,TIA LI,CAATIBA,PSB,SUPLENTE,89,0.0,500.0
4430,NEUZA BISPO DA SILVA,NEUZA ENFERMEIRA,CABACEIRAS DO PARAGUAÇU,PP,SUPLENTE,89,0.0,0.0
4431,JOSÉ CARLOS DA SILVA,ZÉ CARLOS DA AGROMIX,SANTA CRUZ CABRÁLIA,REPUBLICANOS,NÃO ELEITO,89,0.0,0.0
4432,JOSÉ BRAZ MIRANDA SILVA,JOSÉ BRAZ,SALVADOR,REDE,NÃO ELEITO,89,0.0,2972.0
4433,JOSE GETULIO JESUS DE OLIVEIRA,NINHO DE APOLÔNIA,PÉ DE SERRA,DEM,SUPLENTE,89,0.0,0.0
4434,ROBSON DOS SANTOS COIMBRA,NEGO PAL,MARAGOGIPE,PODE,SUPLENTE,89,0.0,0.0
4435,LETICIA FERNANDES SOARES PORTUGAL,LEU DA CAPELA,CONCEIÇÃO DA FEIRA,PTC,NÃO ELEITO,89,0.0,280.0
4436,CID DA CONCEIÇÃO SILVA DOS SANTOS,CID DA CAPOEIRA,ITUBERÁ,PC do B,SUPLENTE,89,0.0,614.0
4437,ALEXSANDRO JOSÉ BEZERRA,GUACHE DO MEL,PAULO AFONSO,PSD,SUPLENTE,89,0.0,1340.0
4438,MARIA APARECIDA BARBOSA DA CRUZ,CIDA DO POSTO,PORTO SEGURO,PODE,SUPLENTE,89,0.0,2000.0
4439,ELENILDO TEIXEIRA DA SILVA NERY,ELENILDO PEDREIRO,PIRAÍ DO NORTE,PP,SUPLENTE,89,0.0,918.0
4440,GILMARIO DOS SANTOS SOUZA,GIL DE ZUZU,MUNIZ FERREIRA,PTC,SUPLENTE,89,0.0,0.0
4441,EDNALDO SILVA DOS SANTOS,EDNALDO,ITAMARAJU,PRTB,NÃO ELEITO,89,0.0,0.0
4442,SIRLEI RIBEIRO DOS SANTOS,SIRLEI RIBEIRO,RIACHÃO DAS NEVES,PTB,SUPLENTE,89,0.0,0.0
4443,WHELITON PEREIRA DE JESUS,WHELITON DE ROQUE DA SAUDE,MURITIBA,PSB,SUPLENTE,89,0.0,0.0
4444,RAQUEL DE OLIVEIRA MACÊDO,RAQUEL,BAIANÓPOLIS,PL,SUPLENTE,89,0.0,0.0
4445,NOÊMIA FERREIRA DE JESUS,NOÊMIA FERREIRA,OLIVEIRA DOS BREJINHOS,PP,SUPLENTE,89,0.0,1802.0
4446,DOURIVAL SEDRAZ CARVALHO,DOGA,TANQUINHO,PTC,SUPLENTE,89,0.0,0.0
4447,MANOEL MESSIAS DE SOUZA FERNANDES,MANOEL FERNANDES,BRUMADO,PODE,SUPLENTE,89,0.0,0.0
4448,AGNALDO DO CARMO DA CONCEIÇÃO,AGNALDO DO PLANALTO,SANTA MARIA DA VITÓRIA,PODE,NÃO ELEITO,89,0.0,175.0
4449,LUIZ ALVES DO SANTOS,LUIZINHO,SÍTIO DO MATO,PSD,SUPLENTE,89,0.0,0.0
4450,FÁBIO FREITAS TEIXEIRA,FÁBIO TEIXEIRA,ILHÉUS,PT,SUPLENTE,89,0.0,991.5
4451,LUCIENE ALVES DOS SANTOS,LUCIENE,ALCOBAÇA,PC do B,SUPLENTE,89,0.0,0.0
4452,JOSE GUSTAVO BATISTA DOURADO,TINHO DO CARRO DE SOM,JOÃO DOURADO,PSB,NÃO ELEITO,89,0.0,1000.0
4453,ADEMIR CHAVES DOS SANTOS,DEDÉ,ARAMARI,PP,SUPLENTE,89,0.0,161.01
4454,FLÁVIO SANTANA DA SILVA,PASTOR FLÁVIO,MURITIBA,PP,NÃO ELEITO,89,0.0,0.0
4455,JOSÉ AUGUSTO DA PAIXÃO,ZÉ AUGUSTO,IRARÁ,DEM,SUPLENTE,89,0.0,0.0
4456,JACKSON DO NASCIMENTO MOREIRA,JAQUINHO,ANTÔNIO CARDOSO,PSB,SUPLENTE,89,0.0,400.0
4457,JOMARA WITTA ALBUQUERQUE BRANDÃO,JOMARA ALBUQUERQUE,SENHOR DO BONFIM,PC do B,SUPLENTE,89,0.0,800.0
4458,JESSÉ DE JESUS NUNES,JESSÉ DE JESUS,JEQUIÉ,DEM,SUPLENTE,89,0.0,0.0
4459,GIVALDO SOARES DOS SANTOS,IRMÃO GIL,JANDAÍRA,AVANTE,SUPLENTE,89,0.0,0.0
4460,MÁRCIA JEANE LEITE DE OLIVEIRA,MÁRCIA LEITE DE OLIVEIRA,VITÓRIA DA CONQUISTA,PSD,NÃO ELEITO,89,0.0,0.0
4461,JOSÉ ABELARDO VAZ DE QUEIROZ,ZÉ ABELARDO,ITABERABA,PL,SUPLENTE,89,0.0,750.0
4462,VICENTE RATTON CARNEIRO,PROFESSOR RATTON,SALVADOR,PTC,NÃO ELEITO,89,0.0,413.0
4463,JULIANA FRANCISCA DOS SANTOS,JULIANA,CAIRU,PMN,SUPLENTE,89,0.0,300.0
4464,MARILIA NUNES DE ANDRADE SILVA,ZINHA,SÃO JOSÉ DA VITÓRIA,PC do B,NÃO ELEITO,89,0.0,120.0
4465,ANA CELESTE ANDRADE OLIVEIRA,ANA CELESTE,SENHOR DO BONFIM,REPUBLICANOS,SUPLENTE,89,0.0,0.0
4466,CLAUDIANO FERNANDES DE OLIVEIRA,SEMINARISTA,CARDEAL DA SILVA,PROS,SUPLENTE,89,0.0,0.0
4467,JOSÉLIA ALMEIDA AZEVÊDO,JÓ DA SAÚDE,CANDEIAS,PP,SUPLENTE,89,0.0,0.0
4468,NILDA ANTONIA SILVA MELO,NILDA DO SOCIAL,SIMÕES FILHO,PSD,SUPLENTE,88,0.0,0.0
4469,VALNEI ALVES SANTOS,VALNEI PADARIA,VALENÇA,PMB,SUPLENTE,88,0.0,0.0
4470,ZOSIMA CHAGAS DE SOUSA,ZOSIMA,ITABUNA,PDT,SUPLENTE,88,0.0,227.5
4471,HAFALO SANTOS DE OLIVEIRA,RAFA DE ZEQUINHA,BOM JESUS DA LAPA,PSD,SUPLENTE,88,0.0,0.0
4472,TAMYRES RAINNE ANDRADE VASCONCELOS,TAMYRES ANDRADE,LIVRAMENTO DE NOSSA SENHORA,PSD,SUPLENTE,88,0.0,720.0
4473,VALDIR BARBOSA DOS SANTOS,VALDIR DICA,JEQUIÉ,PP,SUPLENTE,88,0.0,0.0
4474,CHARLES MAIA CAJAZEIRAS DE BARROS,PROF  CHARLES MAIA,VERA CRUZ,REPUBLICANOS,SUPLENTE,88,0.0,0.0
4475,TELMA REGINA SILVA MATOS,TELMA MATOS,MUCURI,PSB,SUPLENTE,88,0.0,0.0
4476,ADALBERTO RODRIGUES DE OLIVEIRA,IRMÃO ADALBERTO,JUAZEIRO,PSDB,SUPLENTE,88,0.0,0.0
4477,ADEMILSON PEREIRA ALVES,DEMI DO SINDICATO,URUÇUCA,PSDB,SUPLENTE,88,0.0,1500.0
4478,ALEXANDRE COSTA ROMEU,ALEXANDRE ROMEU,CANDEIAS,MDB,NÃO ELEITO,88,0.0,1298.0
4479,JOAQUIM BARROS NASCIMENTO,JOAQUIM ,GOVERNADOR MANGABEIRA,PSD,SUPLENTE,88,0.0,0.0
4480,ROMUALDO GUSMAO SANTIAGO,ROMUALDO,IPIRÁ,PP,SUPLENTE,88,0.0,0.0
4481,CRISTIANE DA CONCEIÇÃO CARNEIRO BISPO,CRIS MOLAS,RIACHÃO DO JACUÍPE,DEM,SUPLENTE,88,0.0,0.0
4482,VILSON MAGALHAES CÉSAR,PROFESSOR VILSON,SALVADOR,PMN,SUPLENTE,88,0.0,2500.0
4483,JOSÉ AUGUSTO DE SANTANA SANTOS,AUGUSTO DO POVÃO,EUCLIDES DA CUNHA,REPUBLICANOS,NÃO ELEITO,88,0.0,100.0
4484,GISMARA DIAS DA ROCHA SOARES,MARA DE LUXA,TREMEDAL,PSD,SUPLENTE,88,0.0,0.0
4485,ANGELA DA SILVA LIMA,ANGELA DA MATERNIDADE,ILHÉUS,CIDADANIA,NÃO ELEITO,88,0.0,0.0
4486,EDIENE SANTOS RIBEIRO,EDIENE FILHA DE TIONE,ITAETÉ,PT,SUPLENTE,88,0.0,500.0
4487,DENIVALDO GOMES DE SOUZA,DÊNIS DO AÇOUGUE,SENHOR DO BONFIM,PC do B,SUPLENTE,88,0.0,800.0
4488,CARLOS EDUARDO DE JESUS SANTOS,CAL LITORAL,ENTRE RIOS,PSD,SUPLENTE,88,0.0,0.0
4489,ROBERTO PEREIRA ROCHA,ROBERTO THE BOYS,ENCRUZILHADA,PSD,SUPLENTE,88,0.0,600.0
4490,ANTONIO PATROCINIO DO CARMO,TONHO DO ESPORTE,PEDRÃO,PSB,SUPLENTE,88,0.0,0.0
4491,JEAN CARLOS OLIVEIRA SANTANA,LÊCO,MATA DE SÃO JOÃO,PSD,SUPLENTE,88,0.0,615.62
4492,JACKSON ALVES DO AMPARO,PROFESSOR JACKSON,IGRAPIÚNA,REPUBLICANOS,SUPLENTE,88,0.0,0.0
4493,MARIO SERGIO COSTA DA SILVA,SUPER MARIO DAS EMPADAS,FEIRA DE SANTANA,PTB,NÃO ELEITO,88,0.0,0.0
4494,BENEVALDO ALMEIDA DE JESUS,DENI DA DISTRIBUIDORA,EUNÁPOLIS,PL,NÃO ELEITO,88,0.0,0.0
4495,ANA LUCIA DOMICIANA DOS ANJOS,ANA ANJOS,LUÍS EDUARDO MAGALHÃES,PV,NÃO ELEITO,88,0.0,95.0
4496,DARIO SOUZA BRITO,DÁRIO BRITO,CANAVIEIRAS,PSB,NÃO ELEITO,88,0.0,300.0
4497,CLAUDEMIR JESUS DA SILVA,KAU,GUARATINGA,DEM,SUPLENTE,88,0.0,0.0
4498,ROMUALDO SANTOS COSTA,ROMUALDO COSTA,CAMAÇARI,PL,NÃO ELEITO,88,0.0,0.0
4499,IZAQUEU MARTINS SEPULCRO,IZAQUEU MARTINS,PRADO,PROS,SUPLENTE,88,0.0,128.0
4500,MARCOS PABLO JESUS GOMES,MARCOS PABLO,TUCANO,DEM,SUPLENTE,88,0.0,0.0
4501,EMANUEL SOUZA FERREIRA,DÉA,TEOLÂNDIA,PP,SUPLENTE,88,0.0,0.0
4502,EDILSON DE SOUZA SANTOS,BELO DO FORRO,ITABERABA,DEM,SUPLENTE,88,0.0,0.0
4503,VALDEMAR SANTANA BATISTA,VADU BATISTA,SÃO SEBASTIÃO DO PASSÉ,PSDB,SUPLENTE,87,0.0,0.0
4504,UILLIAN NASCIMENTO TORQUATO,UILLIAN TORQUATO,BELMONTE,PP,SUPLENTE,87,0.0,100.0
4505,JOAO OLIVEIRA DA SILVA,JOÃO DO PULO,APORÁ,DEM,SUPLENTE,87,0.0,0.0
4506,JOSE VARELA NETO,ZE ARARIPE,SAUBARA,MDB,SUPLENTE,87,0.0,0.0
4507,DOLORES ANA DE SANTANA,PROFESSORA DOLORES,EUCLIDES DA CUNHA,PSD,SUPLENTE,87,0.0,0.0
4508,JULIO NEPOMUCENO DE ALMEIDA,JÚLIO,BARRO PRETO,PP,SUPLENTE,87,0.0,575.0
4509,SIDINEIA SOUSA COSTA,NEIA DE GEL,GAVIÃO,PROS,SUPLENTE,87,0.0,0.0
4510,AILTON TRINDADE DA SILVA,AILTON TRINDADE,VITÓRIA DA CONQUISTA,REDE,NÃO ELEITO,87,0.0,0.0
4511,LEONARDO BACELAR DE ALMEIDA,LEO DE ZE LEAO,ÁGUA FRIA,PSD,SUPLENTE,87,0.0,0.0
4512,SUELICY JOSÉ DE SANTANA,SUELY DE MARCELO,SAPEAÇU,DEM,SUPLENTE,87,0.0,0.0
4513,ANTONIO MARCOS BRASILEIRO SALES,PR MARCOS SALES,LUÍS EDUARDO MAGALHÃES,PODE,SUPLENTE,87,0.0,1772.45
4514,ADELCINO MANOEL DOS SANTOS,DEL FENIX,SANTA LUZIA,DEM,SUPLENTE,87,0.0,336.5
4515,LEONARDO JOSÉ DA SILVA PALMA,LEO DE MARIZA,SIMÕES FILHO,PROS,NÃO ELEITO,87,0.0,609.0
4516,LAUDICEIA DE SOUZA BEZERRA,LAU DO POVO,LUÍS EDUARDO MAGALHÃES,PSC,SUPLENTE,87,0.0,772.45
4517,ELBER DE SOUSA MARTINS,ELBER DO LAVA JATO,CAMAÇARI,AVANTE,NÃO ELEITO,87,0.0,800.0
4518,ANTONIO CARLOS DA CRUZ NORONHA,MANGA NORONHA,LAURO DE FREITAS,PSC,SUPLENTE,87,0.0,140.0
4519,ANDERSON PIMENTEL MOTA,DECINHO PIMENTEL,SIMÕES FILHO,PP,SUPLENTE,87,0.0,0.0
4520,JOSUE ROSA DE SOUZA,JOSUE,SÃO SEBASTIÃO DO PASSÉ,PP,SUPLENTE,87,0.0,0.0
4521,ANTONIO PIRES DOS SANTOS,ANTONIO PIRES,ITAMARAJU,REPUBLICANOS,SUPLENTE,87,0.0,1000.0
4522,DEVANILSON DA SILVA LOURES,DEDÉ DO TÁXI,MUCURI,PROS,SUPLENTE,87,0.0,750.0
4523,CLEDINALDO FERREIRA DO CARMO,CLEDINALDO,PRADO,PC do B,SUPLENTE,87,0.0,0.0
4524,PAULO SERGIO OLIVEIRA PIRES,PAULO BORRACHA,PRADO,PSDB,NÃO ELEITO,87,0.0,128.0
4525,PAULO CEZAR FERREIRA DE SOUZA,NEGO PAULO,ITAJUÍPE,PODE,SUPLENTE,87,0.0,0.0
4526,SAMANTA IVANOVITIS OLIVEIRA,SAMANTA IVANOVITIS,SALVADOR,PSB,SUPLENTE,87,0.0,11490.400000000001
4527,DÁCIO MACEDO ROLEMBERG FILHO,DR. DÁCIO,CANAVIEIRAS,PT,NÃO ELEITO,87,0.0,0.0
4528,JOSEMIR MOTA DE JESUS,JOSEMIR DO CAJUEIRO,SERRINHA,SOLIDARIEDADE,SUPLENTE,87,0.0,0.0
4529,ROSALIA SANTANA HIGINO,ROSA HIGINO,CONDE,PP,SUPLENTE,87,0.0,0.0
4530,JONIVALDO SILVA DE OLIVEIRA,JUNIOR PAVAO,SENHOR DO BONFIM,PSL,SUPLENTE,87,0.0,0.0
4531,DEMETRIO FELIX FRANCO NETO,DEMETRIO CASTRO,IBICARAÍ,PSD,SUPLENTE,87,0.0,1082.92
4532,JOSE FABIO GOIS NASCIMENTO,BINHO DA CAJAZEIRA,JUSSARI,PT,SUPLENTE,87,0.0,0.0
4533,JOCIMAR SANTOS DA SILVA,JOCIMAR,COARACI,SOLIDARIEDADE,NÃO ELEITO,87,0.0,0.0
4534,ROSANE ALVES DA CONCEIÇÃO,PRÓ ROSANE,JEQUIÉ,PV,SUPLENTE,87,0.0,1445.0
4535,MIKAEL OLIVEIRA DOS SANTOS,MIKAEL DE BAZU,BELMONTE,REPUBLICANOS,SUPLENTE,87,0.0,100.0
4536,MARIA ANTONINA DA CONCEICAO,ENFERMEIRA ANTONINA,VALENÇA,PV,NÃO ELEITO,87,0.0,1533.5
4537,VALDEILSON MOTA SOUZA,DEDÉ MOTA,ALAGOINHAS,REDE,NÃO ELEITO,87,0.0,0.0
4538,CLERISVALDO DE JESUS,VAL UBER,CACHOEIRA,PSOL,NÃO ELEITO,87,0.0,287.31
4539,FLORISVALDO BARBOSA FERNANDES,PROFESSOR FLORISVALDO,CARAVELAS,PROS,SUPLENTE,87,0.0,0.0
4540,ANA SELMA GOMES DA SILVA MOREIRA,PASTORA SELMA,CABACEIRAS DO PARAGUAÇU,PP,SUPLENTE,87,0.0,720.0
4541,ADRIANO CASAGRANDE,PROFESSOR ADRIANO,ALCOBAÇA,PC do B,SUPLENTE,87,0.0,0.0
4542,REGINALDO DA SILVA REIS,REGIS DA SEGURANÇA,FEIRA DE SANTANA,PTB,NÃO ELEITO,87,0.0,0.0
4543,JOSE ELI SANTOS DA SILVA,ZE LUSTOSA,SOBRADINHO,PSB,SUPLENTE,87,0.0,0.0
4544,IVONEIDE SANTOS,IVONE DO ALTO ALEGRE,SERRINHA,PODE,NÃO ELEITO,87,0.0,0.0
4545,ANTÔNIO JOSÉ NUNES DOS SANTOS,ENFERMEIRO ZELINHO,MARAGOGIPE,PT,SUPLENTE,86,0.0,0.0
4546,ANTÔNIO GILSIVAM SANTOS COSTA,ANTIGÃO,BARREIRAS,PDT,NÃO ELEITO,86,0.0,0.0
4547,JORGE ELISIO FERREIRA DE JESUS,CABEÇÃO DE MARACANGALHA,SÃO SEBASTIÃO DO PASSÉ,PTB,SUPLENTE,86,0.0,0.0
4548,GEILSON PIA GONÇALVES,GEILSON,MEDEIROS NETO,REPUBLICANOS,NÃO ELEITO,86,0.0,3150.0
4549,JOÃO VITÓRIO DA SILVA,JOÃO VITÓRIO,CRUZ DAS ALMAS,REPUBLICANOS,SUPLENTE,86,0.0,0.0
4550,SIDNALDO SOUZA DOS SANTOS,SID DE SÃO MIGUEL,CATU,PTB,SUPLENTE,86,0.0,341.0
4551,DELVAN SANTOS BARRETO,DELVAN BARRETO,JAGUAQUARA,PSL,NÃO ELEITO,86,0.0,0.0
4552,JONATAS BATISTA DOS SANTOS,JONATAS JHON,PAULO AFONSO,PDT,SUPLENTE,86,0.0,960.0
4553,PEDRO SILVA,PEDRO DE NICANOR,MORPARÁ,PSB,SUPLENTE,86,0.0,372.0
4554,ELIENE ASSUNÇÃO DA SILVA QUARESMA,ELIENE LIO,IGRAPIÚNA,PC do B,NÃO ELEITO,86,0.0,0.0
4555,EDVALDO EVANGELISTA MATIAS,MESTRE JOÃO DE BARRO,SALVADOR,REDE,NÃO ELEITO,86,0.0,5872.0
4556,NERIVALDO JESUS SANTOS,PASTOR NERINHO,MATA DE SÃO JOÃO,REPUBLICANOS,NÃO ELEITO,86,0.0,0.0
4557,JOBERTO DA CRUZ SANTOS,BETO DE VAVÁ,GANDU,PL,SUPLENTE,86,0.0,501.0
4558,ROBERTO PRAZERES SILVA,ROBERTO PRAZERES,RIO REAL,PSDB,NÃO ELEITO,86,0.0,1000.0
4559,ERLAN DANTAS,DANTAS ITAMARAJU,ITAMARAJU,PODE,NÃO ELEITO,86,0.0,0.0
4560,DELSUC ALMEIDA DA SILVA JÚNIOR,JUNIOR BOLÃO,SÃO FÉLIX,PSD,SUPLENTE,86,0.0,0.0
4561,ANTONIA DE SOUZA CARNEIRO,TONHA DO PUCIANO,MONTE SANTO,PSC,SUPLENTE,86,0.0,425.0
4562,KENKUIALIS CARVALHO LEITE,KENKUIALIS,FEIRA DE SANTANA,PSD,SUPLENTE,86,0.0,0.0
4563,CLAUDIA FARIA DA PAZ,CLAUDINHA DO BOLSA,SIMÕES FILHO,DEM,SUPLENTE,86,0.0,600.0
4564,DAN RAIMUNDO DE OLIVEIRA SILVA,MUNDINHO DA COLÔNIA,TAPEROÁ,PP,SUPLENTE,86,0.0,0.0
4565,JOELMA FELIX DOS SANTOS,JOELMA FELIX,EUNÁPOLIS,PP,SUPLENTE,86,0.0,160.0
4566,KLEBER MOTA CAMPOS ALVES,KLEBER,FEIRA DE SANTANA,PTB,NÃO ELEITO,86,0.0,0.0
4567,CECILIA MARIA BARBOSA DA ROCHA SANTIAGO,CELIA DA SAUDE,CONCEIÇÃO DO ALMEIDA,PSD,SUPLENTE,86,0.0,0.0
4568,MATHEUS FIGUEREDO GUEDES,MATHEUS GUEDES,UBAITABA,PSD,SUPLENTE,86,0.0,600.0
4569,GILSON DA CRUZ DEOLINDO,GILSÃO DO TRATOR,CARAVELAS,DEM,SUPLENTE,86,0.0,261.5
4570,JOÃO ASSIS CARNEIRO LIMA,JOÃOZINHO DOS OITO BAIXOS,SALVADOR,PP,NÃO ELEITO,86,0.0,3000.0
4571,MARLENE PEREIRA DA CONCEIÇÃO,MARLENE DA MATERNIDA,CONCEIÇÃO DA FEIRA,AVANTE,SUPLENTE,86,0.0,0.0
4572,ELZIMEIRE LEAL MOITINHO TANAJURA,MEIRE,PLANALTO,PDT,NÃO ELEITO,86,0.0,100.0
4573,ANDERSON MATHEUS PEREIRA DA SILVA,ANDERSON MATHEUS,JUAZEIRO,PSDB,SUPLENTE,86,0.0,0.0
4574,JOSE DOMINGOS SANTOS,ZE ALVES,NOVA SOURE,PT,SUPLENTE,86,0.0,161.47
4575,LUIZ EDUARDO NASCIMENTO DA LUZ,LUIZINHO DE BARCELOS,CAMAMU,PSC,SUPLENTE,86,0.0,0.0
4576,MAURILIO TAVARES ARAUJO NETO,MAURILINHO DO AMADO BAHIA,MATA DE SÃO JOÃO,CIDADANIA,NÃO ELEITO,86,0.0,0.0
4577,LUIZ CARLOS ALMEIDA NEVES JUNIOR,LUIZ CARLOS,URUÇUCA,PDT,SUPLENTE,86,0.0,0.0
4578,WALTER BARBOSA DA SILVA FILHO,WALTER BARBOSA,ESPLANADA,MDB,SUPLENTE,86,0.0,0.0
4579,DAIANE DOS SANTOS COSTA,DAIANE SINCERA,CASA NOVA,PSDB,SUPLENTE,86,0.0,0.0
4580,JORGE RODRIGUES DOS SANTOS,JORGE RODRIGUES,ILHÉUS,PTC,NÃO ELEITO,86,0.0,354.0
4581,LEANDRO DOS SANTOS NASCIMENTO,LÉO DA ÓTICA,SIMÕES FILHO,PSL,SUPLENTE,86,0.0,0.0
4582,CLAUBERTE ALVES FERREIRA,TOTÔ,NOVA VIÇOSA,PODE,SUPLENTE,86,0.0,0.0
4583,MARIA CELMA DE ARAUJO,CELMA DA BRASCED,CANDEIAS,PV,SUPLENTE,86,0.0,1067.5
4584,JUCIMAR SANTOS DA SILVA,JUCIMAR,JAGUARIPE,PL,SUPLENTE,86,0.0,0.0
4585,OLEON CARDOSO DA SILVA,LEO FERA,CAMPO FORMOSO,PP,NÃO ELEITO,86,0.0,0.0
4586,SÓSTENES PEREIRA NASCIMENTO,SOSTINHO,SOBRADINHO,PC do B,SUPLENTE,86,0.0,682.96
4587,MANOEL MOTA DO CARMO,MOTA PRONTO PRA SERVIR,CAMAÇARI,CIDADANIA,SUPLENTE,86,0.0,4466.13
4588,ROGERIO JESUS DOS SANTOS,GIL SERRALHEIRO,JEQUIÉ,SOLIDARIEDADE,SUPLENTE,86,0.0,0.0
4589,JASON NASCIMENTO DOS SANTOS,GORDO CD,ENTRE RIOS,SOLIDARIEDADE,SUPLENTE,86,0.0,0.0
4590,ALANA DOS SANTOS CERQUEIRA,ALANA CERQUEIRA,ITABERABA,MDB,NÃO ELEITO,86,0.0,2402.0
4591,SANDRO JUNIOR SILVA DE ASSIS,JÚNIOR ZORRO,AMÉLIA RODRIGUES,PSB,SUPLENTE,86,0.0,450.0
4592,JONAS SANTOS DE SOUSA,JONAS,VALENÇA,AVANTE,SUPLENTE,86,0.0,800.0
4593,UENIO FREIRE DE MENEZES,UÊNIO FREIRE,JUAZEIRO,DEM,NÃO ELEITO,86,0.0,88.89
4594,LUCIANE SOUZA DA SILVA,LÚ DE HERACULO,WENCESLAU GUIMARÃES,PT,SUPLENTE,86,0.0,740.0
4595,ENAVANIA BEZERRA DE ALBUQUERQUE,ENAVANIA ALBUQUERQUE,PAULO AFONSO,PP,SUPLENTE,86,0.0,3600.0
4596,MARLENE MATOS DOS SANTOS,IRMÃ MONICA,ENCRUZILHADA,PC do B,SUPLENTE,86,0.0,0.0
4597,GEANE BATISTA DE SALES,GEANE,ARATUÍPE,PC do B,SUPLENTE,85,0.0,389.0
4598,JORGE MACHADO DA SILVA,JORGE DO GÁS,SANTO ESTEVÃO,AVANTE,NÃO ELEITO,85,0.0,0.0
4599,ILMA JESUS DOS PASSOS,ILMA DE EDMILSON,COTEGIPE,PTB,NÃO ELEITO,85,0.0,377.14
